ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.02873,0.10056,9.79229,8.0,58.8828,,,,NaN,,,,0 / 0,96523,2022-03-18 12:17:11:429
0.03352,0.12929,9.78271,8.0,63.1658,,,,NaN,,,,0 / 0,97024,2022-03-18 12:17:11:930
0.03352,0.0814,9.80665,8.0,61.4748,,,,NaN,,,,0 / 0,97524,2022-03-18 12:17:12:430
0.02873,0.10534,9.7875,8.0,53.8335,,,,NaN,,,,0 / 0,98024,2022-03-18 12:17:12:930
0.03831,0.11492,9.7875,8.0,54.8756,,,,NaN,,,,0 / 0,98524,2022-03-18 12:17:13:430
0.01437,0.13408,9.73482,8.0,53.8097,,,,NaN,,,,0 / 0,99024,2022-03-18 12:17:13:930
0.02873,0.11013,9.76355,8.0,51.4542,,,,NaN,,,,0 / 0,99524,2022-03-18 12:17:14:430
0.01915,0.11492,9.77313,8.0,48.3559,,,,NaN,,,,0 / 0,100023,2022-03-18 12:17:14:929
0.03831,0.11013,9.75398,8.0,50.6014,,,,NaN,,,,0 / 0,100523,2022-03-18 12:17:15:429
0.0431,0.11013,9.74919,8.0,62.1178,,,,NaN,,,,0 / 0,101023,2022-03-18 12:17:15:929
0.02394,0.11492,9.76355,8.0,50.6183,,,,NaN,,,,0 / 0,101523,2022-03-18 12:17:16:429
0.07183,0.09577,9.79707,8.0,52.9915,,,,NaN,,,,0 / 0,102023,2022-03-18 12:17:16:929
0.02873,0.14365,9.75877,8.0,52.6044,,,,NaN,,,,0 / 0,102524,2022-03-18 12:17:17:430
0.04788,0.11971,9.7875,8.0,47.9781,,,,NaN,,,,0 / 0,103024,2022-03-18 12:17:17:930
0.03352,0.10534,9.7875,8.0,61.9488,,,,NaN,,,,0 / 0,103524,2022-03-18 12:17:18:430
0.03831,0.11492,9.80186,8.0,65.7656,,,,NaN,,,,0 / 0,104024,2022-03-18 12:17:18:930
